Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 Afghanistan,2477.9,2059.9,1921.7,1320.5,950.9,1344.4,1223.4,1130.0,1057.8,985.2,904.0,820.2,1290.9,1334.3,1311.8,1389.9,1478.9,1829.8,1672.1,1900.2,1917.4,2013.6,2164.6,2229.9,2214.4,2128.2,2134.9,2229.7,2217.2,2229.4
 Albania,4937.5,3496.4,3207.6,3684.6,4102.6,4771.8,5252.8,4681.3,5115.4,5715.6,6139.3,6660.8,6923.3,7337.6,7750.2,8198.8,8830.4,9433.9,10019.4,10240.7,10774.7,11237.4,11365.1,11806.4,11951.3,12273.5,12753.3,13071.1,13636.9,13998.3
 Algeria,8596.8,8205.8,8161.6,7830.0,7543.1,7567.4,7655.1,7651.6,7967.4,8025.5,8110.3,8469.0,8733.8,9252.8,9450.6,9692.1,9815.6,10385.1,10574.5,10539.2,10823.6,10793.1,10797.5,10828.4,11006.2,11150.7,11553.6,11371.7,11301.7,11174.0
 Andorra,45393.3,44773.2,43488.0,41569.0,41401.2,41761.3,43356.8,47312.5,48964.8,50791.4,50582.0,51349.8,52559.1,56430.9,58307.0,60537.3,61622.6,60386.3,54423.8,52042.2,49261.5,47366.2,47347.4,48486.4,50567.9,51779.8,53245.2,54371.3,55253.5,56000.3
 Angola,4823.4,5380.5,2064.4,2024.8,1550.0,3396.2,3357.5,3962.5,3884.6,3508.0,3673.6,3882.8,4638.5,4662.8,4907.2,5365.9,5646.0,6329.9,6460.9,6966.9,6913.2,6887.0,7282.1,7478.9,7704.4,7652.2,7189.0,6861.6,6360.6,6104.1
 Antigua and Barbuda,13231.7,13811.5,13841.5,14534.4,15140.8,14149.8,14841.1,15459.8,15915.0,16156.2,16430.6,15741.8,15358.3,16156.3,16811.3,17776.1,19757.0,21253.6,20819.1,18083.9,16802.5,16198.8,16562.0,16518.3,17032.8,17494.8,18106.8,18922.6,20139.4,20895.4
 Argentina,13596.8,14803.0,15939.7,17131.6,17873.7,17090.7,17781.7,18983.4,19425.8,18534.6,18179.3,17152.2,14726.9,16056.2,16057.5,17269.9,20124.5,21867.0,22551.0,20877.4,22727.0,23946.8,23516.3,23851.9,23047.6,23466.3,22696.7,22962.4,21917.9,21190.2
 Armenia,5191.4,4617.2,2731.8,2551.6,2742.7,3110.9,3336.2,3600.0,3780.7,3925.6,4180.3,4604.5,5267.6,6035.2,6758.2,7752.7,8888.5,10271.6,11137.4,9434.9,9752.8,10078.4,10830.7,11353.0,11519.6,11774.0,11570.2,12543.2,12895.1,13894.0
 Australia,30297.2,29644.1,29453.5,30688.8,31715.5,32179.9,32953.9,33930.6,35188.1,36573.6,37638.2,37872.7,38941.9,39572.9,40670.1,41058.4,41485.6,42538.1,43360.6,43532.8,43580.1,43906.8,45312.6,45989.0,46401.1,47042.9,47467.5,47575.8,48023.8,48084.8
 Austria,37993.7,38721.4,39021.3,38932.7,39634.1,40485.0,41521.1,42165.6,43562.7,44572.5,46309.2,46478.8,47396.0,47770.7,48830.4,49550.2,51239.5,52798.4,53905.1,51287.1,52564.2,53648.9,53642.2,53429.5,53291.8,52639.3,53682.2,54151.6,55533.5,56196.9
 Azerbaijan,7683.6,7510.4,5724.4,4340.0,3441.2,2992.3,2995.0,3142.7,3447.7,3810.0,3960.2,4280.2,4611.7,5013.0,5282.3,6298.1,8325.5,10022.5,11518.3,12854.5,13509.2,13012.1,13295.1,13992.0,14516.4,14441.1,13433.8,13513.4,13597.8,13783.7
 Bahamas,36827.3,34595.1,33563.9,32603.2,33031.7,39246.7,43186.5,35621.1,36647.8,39336.7,40369.2,40549.5,41036.5,39988.5,39714.3,40163.2,40314.0,40085.6,39144.6,36563.6,36347.4,36181.7,37181.8,35985.9,34564.5,34614.7,34330.4,34260.3,33481.0,33747.2
 Bahrain,40846.9,40555.0,44976.7,47352.9,44957.5,46028.6,46540.2,44979.9,46164.6,46556.3,48262.1,46704.4,45267.2,45702.1,45927.5,46335.5,45910.3,46256.7,44585.7,40316.6,40352.6,37769.0,43387.0,44951.3,45631.2,45633.6,45484.3,44966.5,43670.6,42521.7
 Bangladesh,1554.4,1572.0,1625.0,1669.1,1704.7,1752.2,1784.6,1828.6,1883.8,1935.8,2002.5,2060.8,2119.6,2182.3,2267.9,2383.0,2538.2,2703.0,2862.6,2979.6,3116.7,3273.9,3462.2,3614.3,3742.4,3936.3,4143.1,4339.9,4643.4,4976.2
 Barbados,13867.2,13313.9,12376.3,12338.3,12762.0,12907.3,13347.9,13998.3,13493.7,13460.8,14912.2,14440.8,14450.2,14772.5,14868.3,15378.8,15903.8,16477.2,16390.1,15299.0,15166.0,14408.2,14755.9,14433.1,14398.6,14669.2,14990.5,15079.2,14970.3,14935.9
 Belarus,8890.7,8779.7,7919.7,7301.4,6431.1,5784.4,5976.4,6669.3,7263.1,7554.7,8024.4,8448.8,8934.2,9660.6,10833.8,11919.0,13178.5,14310.0,15821.3,15783.8,16988.4,17850.0,18144.9,18075.7,18462.0,17482.7,17003.8,17584.8,18187.0,18546.5
 Belgium,35737.1,36389.4,36790.4,36649.3,37991.4,38723.2,39206.1,40636.7,41346.1,42663.1,44238.8,44257.4,44750.3,45105.6,46265.4,47010.5,47980.2,49357.5,49673.7,48031.8,48791.2,48313.4,49399.7,49465.0,49849.1,50237.8,50491.9,51319.4,51619.4,52084.6
 Belize,4673.5,5109.4,5589.9,5817.1,5637.8,5569.7,5448.1,5477.9,5404.2,5619.1,6080.4,6083.8,6221.7,6524.3,6532.8,6538.8,6679.6,6382.4,6480.8,6698.2,6524.0,6707.7,6627.3,6578.9,6602.3,6845.9,6670.8,6507.3,6453.5,6381.6
 Benin,2133.2,2158.4,2103.1,2189.5,2150.3,2209.4,2234.5,2306.7,2345.9,2404.4,2469.9,2523.0,2554.0,2561.8,2598.7,2574.9,2596.0,2669.8,2735.2,2715.1,2689.9,2704.0,2743.6,2861.1,2962.3,2922.1,2935.5,3010.9,3128.7,3254.2
 Bhutan,2510.6,2430.4,2443.8,2534.5,2778.9,2792.2,2978.7,3187.4,3034.0,3232.2,4053.1,4302.5,4609.0,4838.9,5038.6,5371.8,5733.7,6647.1,6796.0,7085.0,7717.7,8178.6,8355.1,8517.6,8895.8,9371.6,9850.6,10174.6,10327.4,10745.8
 Bolivia (Plurinational State of),4352.1,4514.8,4546.4,4640.8,4782.4,4901.7,5023.8,5184.0,5367.6,5262.3,5275.5,5267.7,5296.9,5276.0,5355.3,5518.3,5702.8,5847.4,6133.0,6198.7,6301.1,6481.3,6608.4,6937.1,7313.5,7718.3,8056.5,8185.5,8444.8,8553.8
 Bosnia and Herzegovina,1775.1,1643.8,1587.3,1611.6,1855.8,2309.3,3830.0,5373.9,7998.9,8438.3,8490.5,8572.6,8863.7,9092.0,9539.4,9870.5,10292.6,10906.1,11591.3,11314.4,11252.4,11398.4,11492.0,12032.1,12322.0,12881.6,13383.5,13738.5,14377.9,14871.8
