Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 Afghanistan,0.302,0.307,0.316,0.312,0.307,0.331,0.335,0.339,0.344,0.348,0.35,0.353,0.384,0.393,0.409,0.418,0.429,0.447,0.447,0.46,0.472,0.477,0.489,0.496,0.5,0.5,0.502,0.506,0.509,0.511
 Albania,0.65,0.631,0.615,0.618,0.624,0.637,0.646,0.645,0.655,0.665,0.671,0.678,0.684,0.691,0.696,0.706,0.713,0.722,0.728,0.733,0.745,0.764,0.775,0.782,0.787,0.788,0.788,0.79,0.792,0.795
 Algeria,0.572,0.576,0.582,0.586,0.59,0.595,0.602,0.611,0.621,0.629,0.637,0.647,0.657,0.667,0.677,0.685,0.69,0.7,0.702,0.711,0.721,0.728,0.728,0.729,0.736,0.74,0.743,0.745,0.746,0.748
 Andorra,0.6085,0.61325,0.619,0.62325,0.62724996,0.6315,0.6385,0.64750004,0.6565,0.51,0.813,0.815,0.82,0.827,0.833,0.827,0.837,0.837,0.84,0.839,0.837,0.836,0.858,0.856,0.863,0.862,0.866,0.863,0.867,0.868
 Angola,0.645,0.6505,0.656,0.66050005,0.6645,0.668,0.675,0.684,0.69200003,0.391,0.4,0.41,0.426,0.435,0.446,0.46,0.473,0.489,0.501,0.515,0.517,0.533,0.544,0.555,0.565,0.572,0.578,0.582,0.582,0.581
 Antigua and Barbuda,0.6815,0.68775,0.693,0.69775003,0.70175004,0.7045,0.71150005,0.7205,0.7275,0.5825,0.5905,0.598,0.6035,0.6105,0.6165,0.764,0.771,0.776,0.774,0.767,0.763,0.755,0.759,0.76,0.76,0.762,0.765,0.768,0.772,0.778
 Argentina,0.718,0.725,0.73,0.735,0.739,0.741,0.748,0.757,0.763,0.774,0.781,0.786,0.781,0.786,0.787,0.788,0.812,0.817,0.821,0.821,0.829,0.835,0.834,0.835,0.836,0.84,0.839,0.843,0.842,0.845
 Armenia,0.654,0.648,0.618,0.617,0.621,0.627,0.634,0.645,0.657,0.664,0.669,0.673,0.682,0.691,0.7,0.712,0.726,0.741,0.745,0.742,0.747,0.751,0.756,0.762,0.764,0.768,0.766,0.769,0.771,0.776
 Australia,0.871,0.871,0.873,0.876,0.879,0.888,0.89,0.893,0.896,0.9,0.903,0.905,0.907,0.909,0.911,0.906,0.909,0.912,0.926,0.928,0.93,0.932,0.937,0.931,0.933,0.938,0.939,0.941,0.943,0.944
 Austria,0.803,0.808,0.813,0.817,0.821,0.825,0.829,0.832,0.837,0.842,0.847,0.857,0.847,0.851,0.858,0.863,0.87,0.89,0.893,0.895,0.904,0.906,0.908,0.905,0.913,0.915,0.917,0.919,0.921,0.922
