,Country,2016
0,Afghanistan,211.0
1,Albania,68.0
2,Algeria,50.0
3,Angola,119.0
4,Antigua and Barbuda,30.0
5,Argentina,27.0
6,Armenia,55.0
7,Australia,8.0
8,Austria,15.0
9,Azerbaijan,64.0
10,Bahamas,20.0
11,Bahrain,40.0
12,Bangladesh,149.0
13,Barbados,31.0
14,Belarus,61.0
15,Belgium,16.0
16,Belize,69.0
17,Benin,205.0
18,Bhutan,124.0
19,Bolivia (Plurinational State of),64.0
20,Bosnia and Herzegovina,80.0
21,Botswana,101.0
22,Brazil,30.0
23,Brunei Darussalam,13.0
24,Bulgaria,62.0
25,Burkina Faso,206.0
26,Burundi,180.0
27,Cabo Verde,99.0
28,Cambodia,150.0
29,Cameroon,208.0
30,Canada,7.0
31,Central African Republic,212.0
32,Chad,280.0
33,Chile,25.0
34,China,113.0
35,Colombia,37.0
36,Comoros,172.0
37,Congo,131.0
38,Congo (Democratic Republic of the),164.0
39,Costa Rica,23.0
40,Croatia,35.0
41,Cuba,50.0
42,Cyprus,20.0
43,Czechia,30.0
44,Côte d'Ivoire,269.0
45,Denmark,13.0
46,Djibouti,159.0
47,Dominican Republic,43.0
48,Ecuador,25.0
49,Egypt,109.0
50,El Salvador,42.0
51,Equatorial Guinea,178.0
52,Eritrea,174.0
53,Estonia,25.0
54,Eswatini (Kingdom of),137.0
55,Ethiopia,144.0
56,Fiji,99.0
57,Finland,7.0
58,France,10.0
59,Gabon,76.0
60,Gambia,237.0
61,Georgia,102.0
62,Germany,16.0
63,Ghana,204.0
64,Greece,28.0
65,Grenada,45.0
66,Guatemala,74.0
67,Guinea,243.0
68,Guinea-Bissau,215.0
69,Guyana,108.0
70,Haiti,184.0
71,Honduras,61.0
72,Hungary,39.0
73,Iceland,9.0
74,India,184.0
75,Indonesia,112.0
76,Iran (Islamic Republic of),51.0
77,Iraq,75.0
78,Ireland,12.0
79,Israel,15.0
80,Italy,15.0
81,Jamaica,25.0
82,Japan,12.0
83,Jordan,51.0
84,Kazakhstan,63.0
85,Kenya,78.0
86,Kiribati,140.0
87,Korea (Democratic People's Rep. of),207.0
88,Korea (Republic of),20.0
89,Kuwait,104.0
90,Kyrgyzstan,111.0
91,Lao People's Democratic Republic,188.0
92,Latvia,41.0
93,Lebanon,51.0
94,Lesotho,178.0
95,Liberia,170.0
96,Libya,72.0
97,Lithuania,34.0
98,Luxembourg,12.0
99,Madagascar,160.0
100,Malawi,115.0
101,Malaysia,47.0
102,Maldives,26.0
103,Mali,209.0
104,Malta,20.0
105,Mauritania,169.0
106,Mauritius,38.0
107,Mexico,37.0
108,Micronesia (Federated States of),152.0
109,Moldova (Republic of),78.0
110,Mongolia,156.0
111,Montenegro,79.0
112,Morocco,49.0
113,Mozambique,110.0
114,Myanmar,156.0
115,Namibia,145.0
116,Nepal,194.0
117,Netherlands,14.0
118,New Zealand,7.0
119,Nicaragua,56.0
120,Niger,252.0
121,Nigeria,307.0
122,North Macedonia,82.0
123,Norway,9.0
124,Oman,54.0
125,Pakistan,174.0
126,Panama,26.0
127,Papua New Guinea,152.0
128,Paraguay,57.0
129,Peru,64.0
130,Philippines,185.0
131,Poland,38.0
132,Portugal,10.0
133,Qatar,47.0
134,Romania,59.0
135,Russian Federation,49.0
136,Rwanda,121.0
137,Saint Lucia,30.0
138,Saint Vincent and the Grenadines,48.0
139,Samoa,85.0
140,Sao Tome and Principe,162.0
141,Saudi Arabia,84.0
142,Senegal,161.0
143,Serbia,62.0
144,Seychelles,49.0
145,Sierra Leone,324.0
146,Singapore,26.0
147,Slovakia,34.0
148,Slovenia,23.0
149,Solomon Islands,137.0
150,Somalia,213.0
151,South Africa,87.0
152,South Sudan,165.0
153,Spain,10.0
154,Sri Lanka,80.0
155,Sudan,185.0
156,Suriname,57.0
157,Sweden,7.0
158,Switzerland,10.0
159,Syrian Arab Republic,75.0
160,Tajikistan,129.0
161,Tanzania (United Republic of),139.0
162,Thailand,61.0
163,Timor-Leste,140.0
164,Togo,250.0
165,Tonga,73.0
166,Trinidad and Tobago,39.0
167,Tunisia,56.0
168,Turkey,47.0
169,Turkmenistan,79.0
170,Uganda,156.0
171,Ukraine,71.0
172,United Arab Emirates,55.0
173,United Kingdom,14.0
174,United States,13.0
175,Uruguay,18.0
176,Uzbekistan,81.0
177,Vanuatu,136.0
178,Venezuela (Bolivarian Republic of),35.0
179,Viet Nam,64.0
180,Yemen,194.0
181,Zambia,127.0
182,Zimbabwe,133.0
183,Andorra,
184,Dominica,
185,"Hong Kong, China (SAR)",
186,Saint Kitts and Nevis,
187,Liechtenstein,
188,Marshall Islands,
189,Palau,
190,"Palestine, State of",
