,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1, Afghanistan,0.485,0.457,0.446,0.390,0.340,0.393,0.378,0.366,0.356,0.346,0.333,0.318,0.386,0.391,0.389,0.398,0.407,0.439,0.425,0.445,0.446,0.454,0.464,0.469,0.468,0.462,0.462,0.469,0.468,0.469
2, Albania,0.589,0.537,0.524,0.545,0.561,0.584,0.598,0.581,0.594,0.611,0.622,0.634,0.640,0.649,0.657,0.666,0.677,0.687,0.696,0.699,0.707,0.713,0.715,0.721,0.723,0.727,0.732,0.736,0.743,0.746
3, Algeria,0.673,0.666,0.665,0.659,0.653,0.654,0.655,0.655,0.661,0.662,0.664,0.671,0.675,0.684,0.687,0.691,0.693,0.701,0.704,0.704,0.708,0.707,0.707,0.708,0.710,0.712,0.717,0.715,0.714,0.712
4, Andorra,0.924,0.922,0.918,0.911,0.910,0.912,0.917,0.930,0.936,0.941,0.941,0.943,0.946,0.957,0.962,0.968,0.970,0.967,0.952,0.945,0.937,0.931,0.931,0.934,0.940,0.944,0.948,0.951,0.954,0.956
5, Angola,0.586,0.602,0.457,0.454,0.414,0.533,0.531,0.556,0.553,0.537,0.544,0.553,0.580,0.580,0.588,0.602,0.609,0.627,0.630,0.641,0.640,0.639,0.648,0.652,0.656,0.655,0.646,0.639,0.627,0.621
6, Antigua and Barbuda,0.738,0.744,0.745,0.752,0.758,0.748,0.755,0.761,0.766,0.768,0.771,0.764,0.760,0.768,0.774,0.783,0.799,0.810,0.806,0.785,0.774,0.769,0.772,0.771,0.776,0.780,0.785,0.792,0.801,0.807
7, Argentina,0.742,0.755,0.766,0.777,0.783,0.777,0.783,0.792,0.796,0.789,0.786,0.777,0.754,0.767,0.767,0.778,0.801,0.814,0.818,0.807,0.820,0.828,0.825,0.827,0.822,0.824,0.819,0.821,0.814,0.809
8, Armenia,0.597,0.579,0.500,0.489,0.500,0.519,0.530,0.541,0.549,0.554,0.564,0.578,0.599,0.619,0.636,0.657,0.678,0.700,0.712,0.687,0.692,0.697,0.708,0.715,0.717,0.720,0.718,0.730,0.734,0.745
9, Australia,0.863,0.860,0.859,0.865,0.870,0.872,0.876,0.880,0.886,0.892,0.896,0.897,0.901,0.903,0.908,0.909,0.911,0.914,0.917,0.918,0.918,0.919,0.924,0.926,0.927,0.930,0.931,0.931,0.933,0.933
10, Austria,0.897,0.900,0.901,0.901,0.904,0.907,0.911,0.913,0.918,0.921,0.927,0.928,0.931,0.932,0.935,0.937,0.942,0.947,0.950,0.943,0.946,0.949,0.949,0.949,0.948,0.947,0.949,0.951,0.955,0.956
11, Azerbaijan,0.656,0.652,0.611,0.570,0.535,0.513,0.514,0.521,0.535,0.550,0.556,0.567,0.579,0.591,0.599,0.626,0.668,0.696,0.717,0.734,0.741,0.735,0.739,0.746,0.752,0.751,0.740,0.741,0.742,0.744
