Country,2000,2005,2010,2011,2012,2013,2014,2015,2016
Albania,1.0,1.2,1.3,1.4,1.2,1.3,1.4,1.3,1.3
Algeria,2.0,2.3,2.7,2.8,3.0,3.0,3.2,3.3,3.1
Angola,0.3,0.3,0.6,0.7,0.6,0.7,0.7,0.7,0.7
Argentina,3.8,3.8,4.2,4.4,4.4,4.3,4.3,4.4,4.4
Armenia,1.1,1.4,1.4,1.6,1.9,1.8,1.8,1.6,1.7
Australia,17.6,18.4,17.6,17.2,16.9,16.5,15.8,15.8,16.2
Austria,7.7,9.0,8.1,7.9,7.5,7.6,7.1,7.2,7.2
Azerbaijan,3.4,3.4,2.6,2.9,3.1,3.1,3.2,3.2,3.2
Bahrain,23.8,23.1,20.6,20.0,20.1,21.5,22.2,21.9,20.8
Bangladesh,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.5
Belarus,5.3,5.8,6.3,6.0,6.1,6.1,6.0,5.6,5.6
Belgium,11.1,10.2,9.5,8.4,8.3,8.4,7.8,8.2,8.1
Benin,0.2,0.3,0.5,0.5,0.4,0.4,0.5,0.5,0.5
Bolivia (Plurinational State of),0.8,1.0,1.4,1.5,1.6,1.6,1.7,1.7,1.8
Bosnia and Herzegovina,3.7,4.2,5.5,6.4,6.0,6.1,5.5,5.6,6.5
Botswana,2.5,2.4,1.6,1.9,2.4,2.6,3.3,3.3,3.2
Brazil,1.7,1.7,1.9,2.0,2.1,2.2,2.3,2.2,2.0
Brunei Darussalam,13.3,13.2,17.7,17.8,17.5,16.9,16.3,14.4,15.1
Bulgaria,5.3,6.0,6.0,6.7,6.1,5.4,5.7,6.1,5.7
Cambodia,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.6
Cameroon,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
Canada,16.9,16.8,15.5,15.6,15.3,15.4,15.3,15.0,14.9
Chile,3.2,3.4,4.0,4.4,4.4,4.7,4.3,4.5,4.7
China,2.4,4.1,5.7,6.2,6.4,6.6,6.5,6.5,6.4
Colombia,1.4,1.3,1.3,1.4,1.4,1.6,1.7,1.6,1.8
Congo,0.2,0.2,0.4,0.5,0.5,0.5,0.6,0.6,0.5
Congo (Democratic Republic of the),0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
Costa Rica,1.1,1.3,1.4,1.5,1.5,1.5,1.5,1.4,1.5
Croatia,3.8,4.5,4.2,4.2,3.8,3.7,3.6,3.7,3.8
Cuba,2.5,2.2,2.6,2.5,2.5,2.4,2.3,2.4,2.1
Cyprus,6.7,6.9,6.5,6.2,5.7,4.9,5.0,5.1,5.4
Czechia,11.8,11.5,10.7,10.4,10.0,9.6,9.3,9.4,9.5
Côte d'Ivoire,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4
Denmark,9.5,8.9,8.5,7.5,6.6,6.9,6.1,5.6,5.9
Dominican Republic,2.1,1.9,2.0,2.0,2.0,2.0,1.9,2.1,2.2
Ecuador,1.4,1.7,2.1,2.1,2.2,2.2,2.4,2.3,2.1
Egypt,1.4,1.9,2.1,2.2,2.2,2.1,2.1,2.2,2.2
El Salvador,0.9,1.0,0.9,1.0,1.0,0.9,0.9,1.0,1.1
Eritrea,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Estonia,10.3,12.4,13.9,13.3,12.4,14.2,13.2,11.5,12.4
Ethiopia,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Finland,10.5,10.4,11.6,10.1,9.0,9.1,8.3,7.7,8.3
France,6.2,6.1,5.4,5.0,5.0,5.0,4.4,4.5,4.5
Gabon,1.2,1.2,1.6,1.8,1.8,1.8,1.7,1.7,1.7
Georgia,1.1,1.0,1.2,1.5,1.6,1.7,1.9,2.1,2.2
Germany,10.0,9.6,9.4,9.0,9.2,9.4,8.9,8.9,8.9
Ghana,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.4
Greece,7.9,8.5,7.7,7.6,7.1,6.4,6.1,6.1,5.9
Guatemala,0.7,0.8,0.7,0.7,0.7,0.8,0.8,0.9,1.0
Haiti,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
Honduras,0.7,1.0,0.9,1.0,1.0,1.0,0.9,1.0,1.0
"Hong Kong, China (SAR)",6.1,6.1,6.0,6.5,6.4,6.5,6.7,6.1,6.2
Hungary,5.2,5.4,4.7,4.7,4.3,4.1,4.1,4.4,4.5
Iceland,7.7,7.6,6.1,5.8,5.7,6.2,6.2,6.2,6.2
India,0.8,0.9,1.3,1.3,1.4,1.4,1.6,1.5,1.6
Indonesia,1.2,1.4,1.5,1.6,1.7,1.7,1.8,1.8,1.7
Iran (Islamic Republic of),4.8,6.0,6.8,6.8,6.8,7.0,7.2,7.0,7.1
Iraq,3.0,2.7,3.5,3.6,4.0,4.1,4.1,3.7,3.8
Ireland,10.8,10.7,8.7,7.7,7.8,7.5,7.4,7.6,7.9
Israel,9.2,9.0,9.3,9.0,9.7,8.4,8.0,8.1,7.9
Italy,7.4,7.8,6.6,6.4,6.1,5.6,5.3,5.4,5.4
Jamaica,3.7,3.8,2.5,2.6,2.4,2.6,2.5,2.4,2.5
Japan,8.8,9.1,8.6,9.0,9.4,9.6,9.2,9.0,9.0
Jordan,2.8,3.1,2.6,2.6,2.8,2.6,2.7,2.6,2.5
Kazakhstan,7.5,10.2,13.6,14.2,14.0,14.6,13.3,12.8,12.9
Kenya,0.2,0.2,0.3,0.3,0.2,0.3,0.3,0.3,0.3
Korea (Democratic People's Rep. of),3.1,3.2,2.0,1.4,1.5,1.0,1.1,0.9,1.0
Korea (Republic of),9.1,9.4,11.1,11.5,11.5,11.4,11.1,11.5,11.6
Kuwait,22.6,28.5,25.7,24.7,23.0,24.6,22.1,23.6,22.8
Kyrgyzstan,0.9,1.0,1.1,1.3,1.7,1.5,1.5,1.7,1.5
Latvia,2.9,3.4,3.8,3.5,3.4,3.4,3.3,3.4,3.4
Lebanon,3.6,3.1,3.7,3.6,3.8,3.5,3.6,3.5,3.5
Libya,6.9,7.4,7.8,5.5,7.0,7.6,7.5,6.5,6.7
Lithuania,2.9,3.7,3.9,3.7,3.8,3.6,3.5,3.6,3.7
Luxembourg,18.5,25.1,21.0,20.2,19.4,18.0,16.7,15.5,14.6
Malaysia,5.0,6.1,6.7,6.7,6.6,7.1,7.4,7.3,7.0
Malta,5.4,6.5,6.2,6.1,6.4,5.6,5.5,3.8,3.1
Mauritius,2.1,2.4,2.9,2.9,3.0,3.0,3.1,3.2,3.2
Mexico,3.6,3.9,3.9,3.9,3.9,3.8,3.6,3.6,3.6
Moldova (Republic of),1.6,1.9,1.9,1.9,1.9,1.6,1.8,1.9,1.9
Mongolia,3.7,4.3,5.2,5.6,6.0,6.3,6.1,5.7,5.9
Montenegro,,3.3,4.1,4.1,3.7,3.6,3.5,3.8,3.4
Morocco,1.0,1.3,1.4,1.5,1.6,1.5,1.6,1.6,1.6
Mozambique,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3
Myanmar,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4
Namibia,1.1,1.3,1.4,1.4,1.5,1.5,1.6,1.6,1.7
