"Fresh water withdrawals (% of total renewable water resources)"
"HDI Rank (2018)","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"170","Afghanistan","..","","..","","31.0","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"69","Albania","4.0","","..","","6.1","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"82","Algeria","38.0","","..","","..","","..","","..","","..","","66.9","","..","","..","","..","","77.8","","..",""
"149","Angola","..","","..","","0.4","","0.5","","..","","..","","..","","..","","..","","..","","..","","..",""
"74","Antigua and Barbuda","3.3","","..","","..","","9.8","","..","","..","","8.5","","..","","..","","..","","..","","..",""
"48","Argentina","..","","3.3","","..","","..","","..","","4.3","","..","","..","","..","","..","","..","","..",""
"81","Armenia","..","","37.6","","..","","..","","..","","..","","37.9","","..","","..","","..","","..","","36.6",""
"6","Australia","..","","..","","..","","3.8","","..","","..","","3.1","","..","","..","","..","","3.2","","..",""
"20","Austria","4.9","","..","","..","","..","","4.5","","..","","..","","..","","..","","..","","..","","..",""
"87","Azerbaijan","..","","..","","..","","..","","..","","..","","34.5","","..","","..","","..","","..","","36.9",""
"45","Bahrain","161.1","","..","","..","","..","","..","","..","","..","","..","","..","","..","","132.2","","..",""
"56","Barbados","..","","..","","..","","87.5","","..","","..","","..","","..","","..","","..","","..","","..",""
"50","Belarus","..","","3.4","","3.2","","2.9","","2.7","","..","","..","","..","","..","","..","","2.5","","..",""
"103","Belize","..","","..","","0.5","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"75","Bosnia and Herzegovina","..","","..","","..","","0.9","","..","","..","","0.9","","0.9","","..","","..","","..","","..",""
"94","Botswana","..","","1.2","","1.6","","..","","..","","..","","1.6","","..","","..","","..","","1.6","","..",""
"79","Brazil","..","","..","","..","","..","","0.9","","..","","..","","..","","..","","..","","0.7","","..",""
"52","Bulgaria","35.2","","..","","..","","..","","..","","..","","26.8","","..","","..","","26.4","","..","","..",""
"182","Burkina Faso","..","","..","","..","","6.1","","..","","..","","..","","..","","..","","..","","..","","..",""
"185","Burundi","..","","..","","2.3","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"150","Cameroon","..","","..","","0.3","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"13","Canada","..","","..","","..","","..","","..","","1.2","","..","","..","","..","","1.2","","..","","..",""
"188","Central African Republic","..","","..","","0.0","","0.1","","..","","..","","..","","..","","..","","..","","..","","..",""
"187","Chad","..","","..","","..","","1.9","","..","","..","","..","","..","","..","","..","","..","","..",""
"85","China","17.6","","..","","19.4","","..","","..","","..","","21.1","","..","","..","","20.9","","..","","..",""
"79","Colombia","..","","..","","0.3","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"179","Congo (Democratic Republic of the)","..","","..","","0.0","","0.1","","..","","..","","..","","..","","..","","..","","..","","..",""
"68","Costa Rica","..","","..","","..","","..","","..","","..","","2.1","","..","","..","","2.8","","..","","..",""
"46","Croatia","..","","..","","..","","..","","..","","..","","0.6","","0.6","","..","","..","","..","","..",""
"72","Cuba","..","","13.7","","..","","..","","..","","..","","..","","18.3","","..","","..","","..","","..",""
"31","Cyprus","28.6","","..","","..","","..","","..","","..","","25.7","","..","","..","","..","","27.9","","..",""
"26","Czechia","..","","..","","..","","..","","..","","..","","14.0","","..","","..","","..","","12.4","","..",""
"165","Côte d'Ivoire","1.3","","..","","1.7","","1.8","","..","","..","","..","","..","","1.4","","..","","..","","..",""
"11","Denmark","20.8","","..","","..","","..","","..","","..","","10.6","","..","","..","","..","","..","","..",""
