"Renewable energy consumption (% of total final energy consumption)"
"HDI Rank (2018)","Country","2012",""
"170","Afghanistan","14",""
"69","Albania","40",""
"82","Algeria","0.2",""
"36","Andorra","19.2",""
"149","Angola","52.2",""
"74","Antigua and Barbuda","0",""
"48","Argentina","9.9",""
"81","Armenia","6.6",""
"6","Australia","8.2",""
"20","Austria","33.4",""
"87","Azerbaijan","2.8",""
"60","Bahamas","1.2",""
"45","Bahrain","0",""
"135","Bangladesh","38.6",""
"56","Barbados","4.1",""
"50","Belarus","7.2",""
"17","Belgium","7.8",""
"103","Belize","37.1",""
"163","Benin","51.1",""
"134","Bhutan","88",""
"114","Bolivia (Plurinational State of)","17.9",""
"75","Bosnia and Herzegovina","15.3",""
"94","Botswana","29.7",""
"79","Brazil","43.6",""
"43","Brunei Darussalam","0",""
"52","Bulgaria","15.8",""
"182","Burkina Faso","77.2",""
"185","Burundi","94",""
"126","Cabo Verde","24.4",""
"146","Cambodia","68.3",""
"150","Cameroon","78",""
"13","Canada","22.6",""
"188","Central African Republic","78",""
"187","Chad","90.7",""
"42","Chile","30.3",""
"85","China","12",""
"79","Colombia","26.6",""
"156","Comoros","48",""
"138","Congo","65.5",""
"179","Congo (Democratic Republic of the)","95.5",""
"68","Costa Rica","38.6",""
"46","Croatia","29.4",""
"72","Cuba","17.1",""
"31","Cyprus","8.3",""
"26","Czechia","12.8",""
"165","Côte d'Ivoire","74.9",""
"11","Denmark","27.3",""
"171","Djibouti","34.1",""
"98","Dominica","9.7",""
"89","Dominican Republic","17",""
"85","Ecuador","13.1",""
"116","Egypt","5.6",""
"124","El Salvador","27.3",""
"144","Equatorial Guinea","5.4",""
"182","Eritrea","80.2",""
"30","Estonia","24.9",""
"138","Eswatini (Kingdom of)","62.5",""
"173","Ethiopia","93.8",""
"98","Fiji","32.8",""
"12","Finland","38.8",""
"26","France","12.4",""
"115","Gabon","75.5",""
"174","Gambia","54.2",""
"70","Georgia","28.7",""
"4","Germany","12",""
"142","Ghana","44.5",""
"32","Greece","13.9",""
"78","Grenada","11.3",""
"126","Guatemala","66.2",""
"174","Guinea","76.4",""
"178","Guinea-Bissau","87.6",""
"123","Guyana","28.3",""
"169","Haiti","83.2",""
"132","Honduras","48.8",""
"4","Hong Kong, China (SAR)","0.8",""
"43","Hungary","16.5",""
"6","Iceland","77.3",""
"129","India","38.4",""
"111","Indonesia","38.2",""
"65","Iran (Islamic Republic of)","0.9",""
"120","Iraq","1.3",""
"3","Ireland","6.6",""
"22","Israel","2.7",""
"29","Italy","14.4",""
"96","Jamaica","17",""
"19","Japan","4.5",""
"102","Jordan","2.9",""
"50","Kazakhstan","1.3",""
"147","Kenya","78.5",""
"132","Kiribati","3.3",""
"..","Korea (Democratic People's Rep. of)","17.7",""
"22","Korea (Republic of)","1.6",""
"57","Kuwait","0",""
"122","Kyrgyzstan","22.5",""
"140","Lao People's Democratic Republic","63.3",""
